"","x"
"1",9930.046
"2",3595.894
"3",24909.45
"4",7506.146
"5",289.7899
"6",4056.494
"7",0
"8",8472.158
"9",2164.022
"10",12418.07
"11",8173.908
"12",17094.64
"13",0
"14",18739.93
"15",3023.879
"16",3228.503
"17",14581.86
"18",7693.4
"19",10804.32
"20",10747.35
"21",0
"22",5149.501
"23",6408.95
"24",1991.4
"25",11163.17
"26",9642.999
"27",9897.049
"28",11142.87
"29",16218.04
"30",995.7002
"31",0
"32",6551.592
"33",1574.424
"34",0
"35",3191.753
"36",20505.93
"37",6181.88
"38",5911.551
"39",3094.156
"40",0
"41",1254.582
"42",13188.83
"43",8061.485
"44",2787.96
"45",3972.54
"46",0
"47",0
"48",0
"49",12187.41
"50",4843.176
"51",0
"52",8087.487
"53",0
"54",2348.973
"55",590.7818
"56",0
"57",1067.506
"58",7284.986
"59",13167.52
"60",1048.432
"61",0
"62",1923.938
"63",4666.236
"64",549.2984
"65",762.9146
"66",10694.29
"67",0
"68",0
"69",8546.715
"70",7479.656
"71",0
"72",647.2046
"73",0
"74",11965.81
"75",9598.541
"76",18783.35
"77",18678.08
"78",0
"79",23005.6
"80",6456.697
"81",0
"82",2321.107
"83",4941.849
"84",0
"85",0
"86",0
"87",3881.284
"88",17230.96
"89",8048.603
"90",0
"91",14509.93
"92",0
"93",0
"94",9983.784
"95",0
"96",5587.503
"97",4482.845
"98",2456.153
"99",0
"100",26817.6
"101",0
"102",9265.788
"103",485.2298
"104",4814.627
"105",7458.105
"106",0
"107",34099.28
"108",1953.268
"109",0
"110",0
"111",8881.665
"112",6210.67
"113",0
"114",929.8839
"115",0
"116",12558.02
"117",22163.25
"118",1652.637
"119",8124.715
"120",671.3318
"121",17814.98
"122",9737.154
"123",17685.18
"124",0
"125",4321.705
"126",1773.423
"127",0
"128",11233.26
"129",559.4432
"130",1085.44
"131",5445.2
"132",60307.93
"133",1460.36
"134",6943.342
"135",4032.708
"136",10363.27
"137",4232.309
"138",11141.39
"139",0
"140",13385.86
"141",4849.559
"142",0
"143",1660.508
"144",0
"145",2484.549
"146",4146.603
"147",9970.681
"148",0
"149",26372.28
"150",5615.189
"151",3196.571
"152",6167.681
"153",7535.942
"154",8484.239
"155",1294.409
"156",0
"157",5010.342
"158",9371.037
"159",0
"160",4279.613
"161",3462.564
"162",7382.549
"163",0
"164",0
"165",10976.51
"166",13829.62
"167",6788.463
"168",9558.501
"169",13228.28
"170",743.6666
"171",5522.788
"172",1424.944
"173",1358.643
"174",0
"175",672.8773
"176",0
"177",10092.83
"178",6281.433
"179",12590.71
"180",5112.014
"181",15952.6
"182",36646.95
"183",12803.97
"184",3786.628
"185",4181.942
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",4728.725
"194",0
"195",0
"196",11821.813
"197",0
"198",0
"199",0
"200",0
"201",0
"202",9014.1321
"203",1921.0445
"204",0
"205",0
"206",8866.3594
"207",0
"208",28076.805
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",17732.719
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",3657.3733
"232",0
"233",2659.9078
"234",14777.266
"235",5319.8157
"236",7388.6329
"237",11821.813
"238",20688.172
"239",1220.6022
"240",22313.671
"241",32509.985
"242",10344.086
"243",2305.2535
"244",3250.9985
"245",5910.9063
"246",2955.4531
"247",11082.949
"248",1152.6267
"249",5024.2704
"250",0
"251",14777.266
"252",17732.719
"253",25860.215
"254",0
"255",11821.813
"256",11821.813
"257",13299.539
"258",17732.719
"259",8866.3594
"260",9752.9954
"261",9457.4501
"262",16254.992
"263",0
"264",17732.719
"265",5030.1813
"266",7388.6329
"267",15244.227
"268",5319.8157
"269",12117.358
"270",10048.541
"271",17732.719
"272",15959.447
"273",5763.1336
"274",14777.266
"275",27337.942
"276",10344.086
"277",14186.175
"278",0
"279",11208.556
"280",8275.2688
"281",0
"282",24514.006
"283",17363.287
"284",26599.078
"285",17732.719
"286",12708.449
"287",9605.2227
"288",0
"289",16254.992
"290",0
"291",16254.992
"292",3694.3164
"293",8866.3594
"294",5910.9063
"295",17732.719
"296",20688.172
"297",2210.679
"298",21870.353
"299",13299.539
"300",16254.992
"301",2216.5899
"302",0
"303",4433.1797
"304",11963.674
"305",10583.478
"306",27337.942
"307",8335.8556
"308",10344.086
"309",13003.994
"310",15811.674
"311",18096.24
"312",10344.086
"313",18471.582
"314",22165.899
"315",19210.445
"316",5578.4178
"317",8866.3594
"318",19210.445
"319",6649.7696
"320",7388.6329
"321",10403.195
"322",11526.267
"323",2216.5899
"324",8275.2688
"325",16846.083
"326",9900.768
"327",10512.547
"328",14038.402
"329",11821.813
"330",25121.352
"331",14777.266
"332",0
"333",11162.747
"334",19210.445
"335",11821.813
"336",11821.813
"337",33987.711
"338",36943.164
"339",20688.172
"340",6649.7696
"341",29554.531
"342",15619.57
"343",14777.266
"344",19949.309
"345",9605.2227
"346",12486.79
"347",5910.9063
"348",8866.3594
"349",0
"350",7536.4055
"351",8275.2688
"352",21427.035
"353",29554.531
"354",29391.982
"355",20132.547
"356",20924.608
"357",8866.3594
"358",14777.266
"359",10344.086
"360",29216.132
"361",13299.539
"362",0
"363",17732.719
"364",25874.992
"365",0
"366",20688.172
"367",31097.278
"368",10048.541
"369",16254.992
"370",21427.035
"371",0
"372",18442.028
"373",16254.992
"374",7388.6329
"375",16342.178
"376",12656.728
"377",18962.187
"378",19210.445
"379",4236.6421
"380",17732.719
"381",28076.805
"382",20688.172
"383",21131.49
"384",10521.413
"385",17732.719
"386",14777.266
"387",11526.267
"388",14777.266
"389",19934.531
"390",21035.438
"391",12560.676
"392",13299.539
"393",664.97696
"394",0
"395",17732.719
"396",15959.447
"397",9605.2227
"398",8866.3594
"399",11821.813
"400",11651.874
"401",22165.899
"402",26599.078
"403",16254.992
"404",14629.493
"405",25860.215
"406",31623.349
"407",20688.172
"408",16218.049
"409",19210.445
"410",2955.4531
"411",22165.899
"412",14777.266
"413",14777.266
"414",21678.249
"415",11821.813
"416",21397.481
"417",14079.779
"418",19210.445
"419",37829.8
"420",21279.263
"421",14038.402
"422",0
"423",14777.266
"424",18660.731
"425",11082.949
"426",12615.352
"427",19949.309
"428",19210.445
"429",41376.344
"430",10512.547
"431",1733.3733
"432",31032.258
"433",28963.441
"434",20688.172
"435",25121.352
"436",20702.949
"437",15516.129
"438",17732.719
"439",11821.813
"440",19210.445
"441",26599.078
"442",20688.172
"443",19210.445
"444",26599.078
"445",27337.942
"446",20688.172
"447",29258.986
"448",27781.26
"449",19505.991
"450",13299.539
"451",20460.602
"452",29584.086
"453",19210.445
"454",2955.4531
"455",21870.353
"456",15146.697
"457",19653.763
"458",8866.3594
"459",7388.6329
"460",22904.762
"461",21870.353
"462",19210.445
"463",37682.028
"464",23643.625
"465",2955.4531
"466",28815.668
"467",7565.9601
"468",1921.0445
"469",35465.438
"470",24086.943
"471",22165.899
"472",21858.531
"473",16254.992
"474",15516.129
"475",26599.078
"476",23643.625
"477",14777.266
"478",18471.582
"479",22165.899
"480",12294.685
"481",19210.445
"482",16240.215
"483",26599.078
"484",21870.353
"485",13299.539
"486",17732.719
"487",19949.309
"488",32953.303
"489",26599.078
"490",17502.194
"491",12560.676
"492",12560.676
"493",13299.539
"494",19210.445
"495",13299.539
"496",23643.625
"497",1539.7911
"498",23643.625
"499",14777.266
"500",23643.625
"501",22165.899
"502",24642.568
"503",18442.028
"504",19210.445
"505",14777.266
"506",17732.719
"507",12708.449
"508",22165.899
"509",14777.266
"510",25121.352
"511",16993.856
"512",26599.078
"513",23643.625
"514",20259.631
"515",13299.539
"516",22165.899
"517",21427.035
"518",28815.668
"519",29554.531
"520",23052.535
"521",12412.903
"522",16254.992
"523",31032.258
"524",39011.982
"525",17437.174
"526",23348.08
"527",25121.352
"528",23643.625
"529",24787.386
"530",21722.581
"531",15638.78
"532",15638.78
"533",17732.719
"534",33248.848
"535",36943.164
"536",2216.5899
"537",25860.215
"538",41376.344
"539",61768.971
"540",23643.625
"541",29554.531
"542",42854.071
"543",17732.719
"544",27781.26
"545",26451.306
"546",39973.982
"547",20850.722
"548",23643.625
"549",22165.899
"550",22165.899
"551",31623.349
"552",18176.037
"553",15516.129
"554",0
"555",24825.806
"556",29702.304
"557",9605.2227
"558",30145.622
"559",26599.078
"560",25121.352
"561",29554.531
"562",12708.449
"563",22461.444
"564",22461.444
"565",15646.169
"566",26599.078
"567",31032.258
"568",19210.445
"569",25860.215
"570",29315.14
"571",20392.627
"572",20688.172
"573",26599.078
"574",25712.442
"575",30736.713
"576",31032.258
"577",32509.985
"578",32509.985
"579",31032.258
"580",30293.395
"581",29554.531
"582",29554.531
"583",33987.711
"584",44331.797
"585",36943.164
"586",33987.711
"587",29258.986
"588",32509.985
"589",33805.951
"590",31401.69
"591",9161.9048
"592",43297.389
"593",33987.711
"594",27337.942
"595",36943.164
"596",44308.154
"597",23389.456
"598",40637.481
"599",44331.797
"600",27190.169
"601",32509.985
"602",50242.704
"603",54675.883
"604",48764.977
"605",71669.739
"606",0
"607",85708.141
"608",0
"609",99007.68
"610",97677.727
"611",70930.876
"612",221.65899
"613",0
"614",0
"615",0
"616",0
"617",0
"618",11821.813
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",218.70353
"632",0
"633",0
"634",0
"635",3694.3164
"636",14481.72
"637",0
"638",0
"639",0
"640",0
"641",0
"642",11821.813
"643",0
"644",8866.3594
"645",8866.3594
"646",0
"647",0
"648",0
"649",0
"650",0
"651",10344.086
"652",0
"653",0
"654",0
"655",7093.0876
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",16846.083
"664",0
"665",0
"666",4063.7481
"667",2305.2535
"668",5615.361
"669",1152.6267
"670",2955.4531
"671",9309.6774
"672",16059.932
"673",0
"674",0
"675",2955.4531
"676",5910.9063
"677",8275.2688
"678",7388.6329
"679",7388.6329
"680",1018.1536
"681",16809.14
"682",0
"683",879.24731
"684",11437.604
"685",1226.5131
"686",10344.086
"687",1034.4086
"688",13299.539
"689",7447.7419
"690",14777.266
"691",0
"692",8127.4962
"693",13299.539
"694",0
"695",4433.1797
"696",7802.3963
"697",7802.3963
"698",7802.3963
"699",2955.4531
"700",6649.7696
"701",5910.9063
"702",0
"703",8570.8141
"704",8127.4962
"705",11245.499
"706",6383.7788
"707",2364.3625
"708",14570.384
"709",2364.3625
"710",4947.4286
"711",10639.631
"712",8127.4962
"713",14777.266
"714",0
"715",13299.539
"716",1329.9539
"717",11348.94
"718",8866.3594
"719",0
"720",7240.8602
"721",7093.0876
"722",7873.3272
"723",8866.3594
"724",13299.539
"725",22165.899
"726",12560.676
"727",295.54531
"728",9457.4501
"729",1477.7266
"730",857.08141
"731",14777.266
"732",12117.358
"733",10196.313
"734",7388.6329
"735",2216.5899
"736",12560.676
"737",1182.1813
"738",9169.2934
"739",7388.6329
"740",1994.9309
"741",9457.4501
"742",9408.6851
"743",0
"744",9497.3487
"745",8866.3594
"746",7388.6329
"747",7388.6329
"748",5910.9063
"749",4433.1797
"750",11821.813
"751",5910.9063
"752",0
"753",3694.3164
"754",7388.6329
"755",14777.266
"756",14777.266
"757",8718.5868
"758",8866.3594
"759",9605.2227
"760",12037.561
"761",5910.9063
"762",8570.8141
"763",8866.3594
"764",8689.0323
"765",23643.625
"766",51.72043
"767",7388.6329
"768",13299.539
"769",7184.7066
"770",11821.813
"771",8969.8003
"772",9102.7957
"773",16254.992
"774",14777.266
"775",8955.023
"776",16254.992
"777",17881.969
"778",17732.719
"779",13299.539
"780",9221.0138
"781",0
"782",0
"783",7388.6329
"784",8866.3594
"785",10344.086
"786",8866.3594
"787",5910.9063
"788",13299.539
"789",19210.445
"790",886.63594
"791",10344.086
"792",17732.719
"793",7260.0707
"794",9752.9954
"795",0
"796",0
"797",13299.539
"798",13299.539
"799",14777.266
"800",1477.7266
"801",11501.146
"802",9752.9954
"803",8127.4962
"804",11821.813
"805",11821.813
"806",19210.445
"807",0
"808",16254.992
"809",5910.9063
"810",1078.7404
"811",14895.484
"812",7684.1782
"813",7675.3118
"814",9605.2227
"815",13151.767
"816",7979.7235
"817",9079.1521
"818",9788.4608
"819",15516.129
"820",10048.541
"821",6649.7696
"822",11821.813
"823",0
"824",8866.3594
"825",11821.813
"826",14260.061
"827",25248.436
"828",12930.108
"829",12930.108
"830",10639.631
"831",0
"832",11821.813
"833",14147.754
"834",17732.719
"835",9900.768
"836",13299.539
"837",14777.266
"838",5910.9063
"839",0
"840",16254.992
"841",8866.3594
"842",12811.889
"843",17732.719
"844",12435.069
"845",15368.356
"846",14777.266
"847",0
"848",10604.166
"849",11082.949
"850",2364.3625
"851",36943.164
"852",15522.04
"853",16905.192
"854",11082.949
"855",26599.078
"856",8866.3594
"857",8866.3594
"858",11821.813
"859",11821.813
"860",7107.8648
"861",17732.719
"862",11821.813
"863",19210.445
"864",19210.445
"865",19604.998
"866",10048.541
"867",0
"868",0
"869",7093.0876
"870",13890.63
"871",8866.3594
"872",20688.172
"873",25121.352
"874",19210.445
"875",23643.625
"876",0
"877",0
"878",13151.767
"879",14777.266
"880",0
"881",16846.083
"882",11821.813
"883",8866.3594
"884",14753.622
"885",11326.774
"886",19432.104
"887",0
"888",14777.266
"889",26599.078
"890",17732.719
"891",22165.899
"892",31032.258
"893",31032.258
"894",14777.266
"895",19210.445
"896",14777.266
"897",7130.0307
"898",18471.582
"899",31032.258
"900",33987.711
"901",44331.797
"902",121173.58
"903",18471.582
"904",7093.0876
"905",25121.352
"906",20688.172
"907",33043.444
"908",26599.078
"909",45809.524
"910",9457.4501
"911",35465.438
"912",39898.618
